category,name,star_rating,cuisine,speed,avg_price_per_meal,area,what_i_got,notes,tags
Directory Import,food for the soul,,soul,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1965 West Broad Street, Athens.",osm|directory-import|active-unverified|restaurant|soul|has-address|source-visitathensga-com|visit-athens|source-openstreetmap|black-owned
Directory Import,four fat cows,,ice cream,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 723 Baxter Street, Athens, 30605.",osm|directory-import|active-unverified|ice-cream|has-address|source-openstreetmap
Directory Import,foxtail coffee company,,coffee,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 357 West Hancock Avenue, Athens. OSM hours: Mo-Su 06:00-21:00.",osm|directory-import|active-unverified|cafe|coffee|has-hours|has-address|source-openstreetmap
Directory Import,freddy's,,burgers,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2050 Oconee Connector, Athens, 30606. OSM hours: Su-Th 10:30-22:00, Fr-Sa 10:30-23:00.",osm|directory-import|active-unverified|fast-food|burgers|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,fresh air bar-b-que,,bbq,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 5170 Atlanta Highway, Athens, 30622.",osm|directory-import|active-unverified|restaurant|bbq|has-address|source-openstreetmap
Directory Import,fully loaded pizza,,pizza,sit down,,normaltown/prince,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1298 Prince Avenue, Athens, 30606. OSM hours: Su-Fr 11:00-21:00; Sa 11:00-22:00.",osm|directory-import|active-unverified|restaurant|pizza|has-hours|has-address|source-openstreetmap
Directory Import,general beauregard's,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 164 East Clayton Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,george's lowcountry table,,seafood,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 420 Macon Highway, Athens, 30606. OSM hours: Tu-Th 16:00-21:00; Fr 16:00-22:00; Sa 14:00-22:00; Su 11:00-21:00.",osm|directory-import|active-unverified|restaurant|seafood|has-hours|has-address|source-openstreetmap
Directory Import,georgia theatre,,restaurant,sit down,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|source-visitathensga-com
Directory Import,girasoles fusion cuisine,,restaurant,sit down,,athens area,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|source-openstreetmap
Directory Import,golden dragon,,chinese,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 126 Alps Road, Athens, 30606.",osm|directory-import|active-unverified|restaurant|chinese|has-address|source-openstreetmap
Directory Import,golden panda,,chinese,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 680 US 29 Highway North, Athens, 30601.",osm|directory-import|active-unverified|restaurant|chinese|has-address|source-openstreetmap
Directory Import,golden sun,,chinese,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 4375 Lexington Road, Athens, 30605.",osm|directory-import|active-unverified|restaurant|chinese|has-address|source-openstreetmap
Directory Import,great american cookies,,dessert,fast,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|fast-food|dessert|chain|fast-casual|source-openstreetmap
Directory Import,gresham's disco lounge,,bar,fast,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1495 West Broad Street, Athens, 30606.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,grindhouse killer burgers,,burgers,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1553 South Lumpkin Street, Athens, 30605. OSM hours: We-Mo 11:30-22:00.",osm|directory-import|active-unverified|restaurant|burgers|has-hours|has-address|source-openstreetmap
Directory Import,groove burgers,,burgers,fast,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|fast-food|burgers|fast-casual|source-openstreetmap
Directory Import,gyro wrap,,greek,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 114 College Avenue, Athens, 30601. OSM hours: Su-We 10:30-20:00; Th-Sa 10:30-21:00.",osm|directory-import|active-unverified|restaurant|greek|has-hours|has-address|source-openstreetmap
Directory Import,hardee's,,burgers,fast,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 4365 Lexington Road, Athens, 30605.",osm|directory-import|active-unverified|fast-food|burgers|chain|fast-casual|has-address|source-openstreetmap
Directory Import,heirloom cafe,,cafe,quicker,,athens area,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|cafe|source-openstreetmap
Directory Import,hi-lo lounge,,pub,fast,,normaltown/prince,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1354 Prince Avenue, Athens, 30606. OSM hours: Mo-Su 11:00-24:00.",osm|directory-import|active-unverified|pub|has-hours|has-address|source-openstreetmap
Directory Import,hibachi grill supreme bufffet,,japanese,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2020 Barnett Shoals Road, Athens, 30605.",osm|directory-import|active-unverified|restaurant|japanese|has-address|source-openstreetmap
Directory Import,hilltop grille,,seafood,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2310 West Broad Street, Athens, 30606.",osm|directory-import|active-unverified|restaurant|seafood|has-address|source-openstreetmap
Directory Import,hook & reel,,seafood,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3640 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|seafood|has-address|source-openstreetmap
Directory Import,hybar at hyatt place,,bar,sit down,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|source-visitathensga-com
Directory Import,i love mac & cheese,,restaurant,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 165 Hickory Street, Athens, 30601. OSM hours: Mo-Sa 12:00-20:00.",osm|directory-import|active-unverified|restaurant|has-hours|has-address|source-openstreetmap
Directory Import,ideal bagel company,,breakfast,sit down,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|source-visitathensga-com
Directory Import,ideal bagel co.,,breakfast,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 815 West Broad Street, Athens, 30601.",osm|directory-import|active-unverified|bakery|breakfast|has-address|source-openstreetmap
Directory Import,iguana's mexican grill,,mexican,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2024 South Milledge Avenue, Athens, 30605.",osm|directory-import|active-unverified|restaurant|mexican|has-address|source-openstreetmap
Directory Import,ihop,,breakfast,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1180 Baxter Street, Athens, 30606. OSM hours: Su-Th 07:00-22:00; Fr-Sa 07:00-00:00.",osm|directory-import|active-unverified|restaurant|breakfast|chain|has-hours|has-address|source-openstreetmap
Directory Import,independent baking company,,bakery,quicker,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1625 South Lumpkin Street, Athens, 30606. OSM hours: Tu-Fr 07:00-17:00; Sa 07:00-17:00; Su 8:00-14:00.",osm|directory-import|active-unverified|bakery|has-hours|has-address|source-openstreetmap
Directory Import,inoko express,,restaurant,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3190 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|has-address|source-openstreetmap
Directory Import,inoko hibachi express,,japanese,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1860 Barnett Shoals Road, Athens, 30605. OSM hours: Tu-Su 11:00-21:00.",osm|directory-import|active-unverified|restaurant|japanese|has-hours|has-address|source-openstreetmap
Directory Import,insomnia cookies,,dessert,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 228 East Clayton Street, Athens, 30601.",osm|directory-import|active-unverified|restaurant|pastry|dessert|chain|has-address|source-openstreetmap
Directory Import,iron works coffee,,coffee,quicker,,dt,,Imported from openstreetmap; needs Matthew try/rating. OSM hours: 07:00-11:00.,osm|directory-import|active-unverified|cafe|coffee|has-hours|source-openstreetmap
Directory Import,j. buffalo wings,,wings,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 196 Alps Road, Athens, 30606.",osm|directory-import|active-unverified|fast-food|wings|fast-casual|has-address|source-openstreetmap
Directory Import,jeni's splendid ice creams,,dessert,fast,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1710 South Lumpkin Street, Athens, 30606. OSM hours: Mo-Su 12:00-23:00.",osm|directory-import|active-unverified|ice-cream|dessert|chain|has-hours|has-address|source-openstreetmap
Directory Import,jersey mike's subs,,sandwich,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 690 US 29 Highway North, Athens, 30601.",osm|directory-import|active-unverified|fast-food|sandwich|chain|fast-casual|has-address|source-openstreetmap
Directory Import,jim 'n nick's,,bbq,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|bbq|chain|source-openstreetmap
Directory Import,jimmy john's,,sandwich,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 600 Baxter Street, Athens, 30605. OSM hours: 10:00-00:00.",osm|directory-import|active-unverified|fast-food|sandwich|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,jinya ramen bar,,japanese,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 351 East Broad Street, Athens, 30601. OSM hours: Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00.",osm|directory-import|active-unverified|restaurant|japanese|has-hours|has-address|source-openstreetmap
Directory Import,jittery joe's,,coffee,quicker,,watkinsville,,"Imported from openstreetmap; needs Matthew try/rating. Address: 27 Greensboro Highway, Watkinsville, 30677.",osm|directory-import|active-unverified|cafe|coffee|has-address|source-openstreetmap
Directory Import,jittery joe's coffee,,coffee,quicker,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1230 South Milledge Avenue, Athens, 30605. OSM hours: Mo-Fr 6:30-22:00; Sa-Su 7:00-22:00.",osm|directory-import|active-unverified|cafe|coffee|has-hours|has-address|source-openstreetmap
Directory Import,johnny's pizza,,pizza,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1040 Gaines School Road, Athens, 30605. OSM hours: Su-Th 11:00-21:00; Fr-Sa 11:00-22:00.",osm|directory-import|active-unverified|restaurant|pizza|has-hours|has-address|source-openstreetmap
Directory Import,jr crickets,,regional,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 810 Hawthorne Avenue, Athens, 30605. OSM hours: Mo-Fr 11:00-00:00.",osm|directory-import|active-unverified|restaurant|regional|has-hours|has-address|source-openstreetmap
Directory Import,just phở ...and more,,vietnamese,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1063 Baxter Street, Athens, 30606.",osm|directory-import|active-unverified|restaurant|vietnamese|has-address|source-openstreetmap
Directory Import,kelly's authentic jamaican,,jamaican,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1583 South Lumpkin Street, Athens, 30605.",osm|directory-import|active-unverified|restaurant|jamaican|has-address|source-openstreetmap
Directory Import,kellys jamaican foods,,jamaican,sit down,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|black-owned|source-visitathensga-com
Directory Import,kfc,,chicken,fast,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2150 Barnett Shoals Road, Athens, 30605. OSM hours: Mo-Su 10:30-22:00.",osm|directory-import|active-unverified|fast-food|chicken|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,killer crust pizza company,,pizza,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1791 Oconee Connector, Athens, 30606. OSM hours: Su-Th 11:00-21:00; Fr-Sa 11:00-22:00.",osm|directory-import|active-unverified|restaurant|pizza|has-hours|has-address|source-openstreetmap
Directory Import,krispy kreme,,donut,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3703 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|fast-food|donut|chain|fast-casual|has-address|source-openstreetmap
Directory Import,krystal,,burgers,fast,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 4005 Lexington Road, Athens, 30605.",osm|directory-import|active-unverified|fast-food|burgers|chain|fast-casual|has-address|source-openstreetmap
Directory Import,la cabaña mexican restaurant,,mexican,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating. OSM hours: Mo-Fr 11:00-22:00; Fr-Sa 11:00-22:30; Su 12:00-21:00.,osm|directory-import|active-unverified|restaurant|mexican|has-hours|source-openstreetmap
Directory Import,la cabana de don juan,,mexican,sit down,,athens area,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|mexican|source-openstreetmap
Directory Import,la fiesta,,mexican,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1395 College Station Road, Athens, 30605.",osm|directory-import|active-unverified|restaurant|mexican|has-address|source-openstreetmap
Directory Import,la parilla,,mexican,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|mexican|source-openstreetmap
Directory Import,la parrilla,,mexican,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 196 Alps Road, Athens, 30606. OSM hours: Su-We 11:00-22:00; Th-Sa 11:00-22:30.",osm|directory-import|active-unverified|restaurant|mexican|has-hours|has-address|source-openstreetmap
Directory Import,larry’s giant subs,,sandwich,fast,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|fast-food|sandwich|fast-casual|source-openstreetmap
Directory Import,lighthouse seafood,,seafood,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 585 Vine Street, Athens, 30601.",osm|directory-import|active-unverified|restaurant|seafood|has-address|source-openstreetmap
Directory Import,lindsey’s culinary market,,cafe,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 520 North Thomas Street, Athens, 30601. OSM hours: Mo-Fr 10:00-18:00.",osm|directory-import|active-unverified|cafe|has-hours|has-address|source-openstreetmap
Directory Import,little caesars,,pizza,fast,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 4375 Lexington Road, Athens, 30605.",osm|directory-import|active-unverified|fast-food|pizza|chain|fast-casual|has-address|source-openstreetmap
Directory Import,little free library,,pub,fast,,dt,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|public-bookcase|pub|chain|source-openstreetmap
Directory Import,little italy,,pizza,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 125 North Lumpkin Street, Athens, 30601. OSM hours: Mo-We 11:00-02:00; Th-Sa 11:00-03:00.",osm|directory-import|active-unverified|restaurant|pizza|has-hours|has-address|source-openstreetmap
Directory Import,@local.,,coffee,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 198 College Avenue, Athens, 30601.",osm|directory-import|active-unverified|cafe|coffee|has-address|source-openstreetmap
Directory Import,locos grill & pub,,pub,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2020 Timothy Road, Athens, 30606. OSM hours: Su-Th 11:00-22:00; Fr-Sa 11:00-23:00.",osm|directory-import|active-unverified|restaurant|pub|has-hours|has-address|source-openstreetmap
Directory Import,longhorn steakhouse,,steak house,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2170 West Broad Street, Athens, 30606.",osm|directory-import|active-unverified|restaurant|steak-house|chain|has-address|source-openstreetmap
Directory Import,los primos,,mexican,fast,,athens area,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|fast-food|mexican|fast-casual|source-openstreetmap
Directory Import,los reyes,,mexican,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1880 US 29 Highway North, Athens, 30601.",osm|directory-import|active-unverified|restaurant|mexican|has-address|source-openstreetmap
Directory Import,los reyes 2,,mexican,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|mexican|source-openstreetmap
Directory Import,lrg provisions,,restaurant,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1653 South Lumpkin Street, Athens, 30606.",osm|directory-import|active-unverified|restaurant|has-address|source-openstreetmap
Directory Import,lumberjaxe,,bar,fast,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 510 North Lumpkin Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,magnolia's,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 312 East Broad Street, Athens, 30601. OSM hours: Mo 19:30-02:00; We 20:00-02:00; Th-Sa 15:00-02:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,mama sid's pizza,,pizza,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2240 Barnett Shoals Road, Athens, 30605. OSM hours: Mo-Sa 11:30:00-21:00.",osm|directory-import|active-unverified|restaurant|pizza|has-hours|has-address|source-openstreetmap
Directory Import,mannaweenta,,ethiopian,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1055 Gaines School Road, Athens, 30605. OSM hours: Mo 17:00-21:30; Tu-Th 11:00-21:30; Fr-Sa 11:00-22:00.",osm|directory-import|active-unverified|restaurant|ethiopian|has-hours|has-address|source-openstreetmap
Directory Import,mannaweenta ethiopian restaurant,,ethiopian,sit down,,athens area,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|black-owned|source-visitathensga-com
Directory Import,marco's pizza,,pizza,fast,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1045 Gaines School Road, Athens, 30605.",osm|directory-import|active-unverified|fast-food|pizza|chain|fast-casual|has-address|source-openstreetmap
Directory Import,marker 7 coastal grille,,restaurant,sit down,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1195 South Milledge Avenue, Athens, 30605.",osm|directory-import|active-unverified|restaurant|has-address|source-openstreetmap
Directory Import,martino’s italian restaurant,,italian,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. OSM hours: Mo-Th 11:00-21:00,11:00-12:00.",osm|directory-import|active-unverified|restaurant|italian|has-hours|source-openstreetmap
Directory Import,mcalister's deli,,sandwich,sit down,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2033 West Broad Street, Athens, 30606.",osm|directory-import|active-unverified|restaurant|sandwich|chain|has-address|source-openstreetmap
Directory Import,mcdonald's,,burgers,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 5223 Jefferson Road, 30606. OSM hours: 24/7.",osm|directory-import|active-unverified|fast-food|burgers|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,mell's place,,bar,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 4698 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,metro diner,,diner,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3075 Atlanta Highway, Athens, 30606. OSM hours: Mo-Su 08:00-20:00.",osm|directory-import|active-unverified|restaurant|diner|chain|has-hours|has-address|source-openstreetmap
Directory Import,mochinut,,donut,fast,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1860 Barnett Shoals Road, Athens, 30605. OSM hours: Su-Sa 10:00-21:00.",osm|directory-import|active-unverified|fast-food|donut|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,molly's coffee company,,coffee,quicker,,athens area,,"Imported from openstreetmap; needs Matthew try/rating. Address: 8830 Macon Highway, Athens, 30606. OSM hours: Mo-Fr 07:00-18:00; Sa-Su 08:00-17:00.",osm|directory-import|active-unverified|cafe|coffee|has-hours|has-address|source-openstreetmap
Directory Import,moonshine bar,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 275 East Clayton Street, Athens, 30601. OSM hours: Mo-Sa 21:00-02:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,mother phở,,vietnamese,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 167 East Broad Street, Athens, 30601. OSM hours: Mo-Sa 11:00-21:00.",osm|directory-import|active-unverified|restaurant|vietnamese|has-hours|has-address|source-openstreetmap
Directory Import,new red bowl asian bistro,,asian,sit down,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1935 Barnett Shoals Road, Athens, 30605. OSM hours: We-Mo 11:00-15:00; Su-Mo 15:00-21:30; We-Th 15:00-21:30; Fr-Sa 15:00-22:30.",osm|directory-import|active-unverified|restaurant|asian|has-hours|has-address|source-openstreetmap
Directory Import,newk's eatery,,pizza,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1850 Epps Bridge Parkway, Athens, 30606. OSM hours: Mo-Su 10:30-21:00.",osm|directory-import|active-unverified|restaurant|pizza|chain|has-hours|has-address|source-openstreetmap
Directory Import,normaltown brewing company,,brewery,fast,,normaltown/prince,,Imported from visitathensga.com; needs Matthew try/rating.,visit-athens|directory-import|active-unverified|brewery|drinks|source-visitathensga-com
Directory Import,nowhere bar,,bar,fast,,five points,,"Imported from openstreetmap; needs Matthew try/rating. Address: 240 North Lumpkin Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,oglethorpe bar,,bar,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1560 Oglethorpe Avenue, Athens, 30606.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,oglethorpe dining commons,,burgers,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 160 University Court, Athens, 30605. OSM hours: Mo-Fr 07:00-22:30.",osm|directory-import|active-unverified|fast-food|burgers|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,ok! coffee,,coffee,quicker,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 225 1/2 College Avenue, Athens, 30601.",osm|directory-import|active-unverified|cafe|coffee|has-address|source-openstreetmap
Directory Import,olive garden,,italian,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3666 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|italian|chain|has-address|source-openstreetmap
Directory Import,on the rocks,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 255 East Clayton Street, Athens, 30601. OSM hours: Mo-Sa 21:00-02:00.",osm|directory-import|active-unverified|bar|has-hours|has-address|source-openstreetmap
Directory Import,osteria athena,,italian,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 323 East Broad Street, Athens, 30601. OSM hours: Tu-Th 17:00-21:00; Fr-Sa 17:00-22:00; Su 17:00-21:00.",osm|directory-import|active-unverified|restaurant|italian|has-hours|has-address|source-openstreetmap
Directory Import,outback steakhouse,,american,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3585 Atlanta Highway, Athens, 30606. OSM hours: Mo-Th 11:00-22:00, Fr-Sa 11:00-23:00, Su 11:00-21:00.",osm|directory-import|active-unverified|restaurant|american|chain|has-hours|has-address|source-openstreetmap
Directory Import,paloma park,,restaurant,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 235 West Washington Street, Athens, 30601.",osm|directory-import|active-unverified|restaurant|has-address|source-openstreetmap
Directory Import,panda express,,chinese,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 45 Baxter Street, Athens, 30602. OSM hours: Mo-Fr 10:30-20:00; Su 12:00-18:00.",osm|directory-import|active-unverified|fast-food|chinese|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,panera bread,,bakery,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3151 Atlanta Highway, Athens, 30606. OSM hours: 06:30-21:00.",osm|directory-import|active-unverified|fast-food|bakery|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,papa john's,,pizza,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 498 Baxter Street, Athens, 30605. OSM hours: Mo-We 10:00-24:00; Th-Sa 10:00-03:00; Su 10:00-24:00.",osm|directory-import|active-unverified|fast-food|pizza|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,pauley's crepe bar,,bar,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 134 East Clayton Street, Athens, 30601.",osm|directory-import|active-unverified|bar|has-address|source-openstreetmap
Directory Import,peach pit bbq,,bbq,sit down,,winterville,,"Imported from openstreetmap; needs Matthew try/rating. Address: 321 Athens Road, Winterville, 30683.",osm|directory-import|active-unverified|restaurant|bbq|has-address|source-openstreetmap
Directory Import,peking,,chinese,sit down,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 2725 Atlanta Highway, Athens, 30606.",osm|directory-import|active-unverified|restaurant|chinese|has-address|source-openstreetmap
Directory Import,pelican’s snoballs,,dessert,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 510 Baxter Street, Athens, 30605. OSM hours: Mo-Sa 12:00-21:00; Su 13:00-21:00.",osm|directory-import|active-unverified|restaurant|dessert|has-hours|has-address|source-openstreetmap
Directory Import,peppino's pizzeria,,pizza,sit down,,five points,,Imported from openstreetmap; needs Matthew try/rating. Address: 2597 South Milledge Avenue.,osm|directory-import|active-unverified|restaurant|pizza|has-address|source-openstreetmap
Directory Import,pizza hut,,pizza,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 680 US 29 Highway North;29 Highway North, Athens, 30601.",osm|directory-import|active-unverified|restaurant|pizza|chain|has-address|source-openstreetmap
Directory Import,planet smoothie,,smoothie,fast,,eastside,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1993 Barnett Shoals Road, Athens, 30605.",osm|directory-import|active-unverified|fast-food|smoothie|chain|fast-casual|has-address|source-openstreetmap
Directory Import,plantation buffet,,american,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 1119 Dr. Martin Luther King Jr. Parkway, Athens, 30601. OSM hours: Mo-Fr 10:30-14:00.",osm|directory-import|active-unverified|restaurant|american|has-hours|has-address|source-openstreetmap
Directory Import,poké bar,,bar,sit down,,west athens,,Imported from openstreetmap; needs Matthew try/rating.,osm|directory-import|active-unverified|restaurant|bar|source-openstreetmap
Directory Import,ponko chicken,,chicken,fast,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 529 Baxter Street, Athens, 30605. OSM hours: 11:00-21:00.",osm|directory-import|active-unverified|fast-food|chicken|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,popeyes,,chicken,fast,,west athens,,"Imported from openstreetmap; needs Matthew try/rating. Address: 3160 Atlanta Highway, Athens, 30606. OSM hours: Mo-Th 10:00-21:30; Fr-Sa 10:00-22:00; Su 10:00-21:30.",osm|directory-import|active-unverified|fast-food|chicken|chain|fast-casual|has-hours|has-address|source-openstreetmap
Directory Import,porterhouse grill,,american,sit down,,dt,,"Imported from openstreetmap; needs Matthew try/rating. Address: 459 East Broad Street, Athens, 30601.",osm|directory-import|active-unverified|restaurant|american|has-address|source-visitathensga-com|visit-athens|source-openstreetmap|award-winning
